product_id,title,category,price,condition,age,co2_kg,resale_value,suggested_action
E1073,Robot Vacuum X,Appliances,349.99,Good,2,150,200,Repair
F1056,Dining Chair Set Oak,Furniture,199.99,Fair,3,60,120,Repair
E1074,Smart Light Bulb Tunable,Electronics,24.99,Good,1,2,10,Repair
F1057,Bookshelf Minimalist,Furniture,149.99,Good,2,50,100,Resell
E1075,Portable Air Purifier Pro,Appliances,129.99,Good,2,40,90,Repair
F1058,Recliner Chair Leather,Furniture,299.99,Good,3,120,250,Resell
E1076,Smart Thermostat Mini,Electronics,199.99,Average,3,50,120,Repair
F1059,Nightstand Small,Furniture,49.99,Good,1,10,30,Resell
E1077,LED Desk Lamp Modern,Electronics,29.99,Good,2,3,18,Repair
F1060,Coffee Table Round Oak,Furniture,99.99,Good,2,25,60,Resell
E1078,Blender Kitchen Pro,Appliances,89.99,Good,2,15,50,Resell
F1061,Bookshelf Tall,Furniture,199.99,Good,3,80,150,Resell
E1079,Smart Plug Mini,Electronics,19.99,Good,1,2,10,Repair
F1062,TV Cabinet Oak,Furniture,349.99,Fair,4,150,200,Repair
E1080,Wireless Mouse Pro,Electronics,39.99,Good,1,2,20,Repair
